Date,Price,Open,High,Low,Volume,Change %
Apr 22 2019, 1313.40, 1273.50, 1273.50, 1273.50, 0.00K, 2.78%
Apr 19 2019, 1277.90, 1277.90, 1277.90, 1277.90, -, -2.58%
Apr 18 2019, 1311.80, 1310.90, 1313.10, 1308.90, 0.08K, -0.05%
Apr 17 2019, 1312.50, 1314.60, 1314.60, 1311.90, 0.06K, -0.05%
Apr 16 2019, 1313.20, 1319.00, 1319.00, 1312.50, 0.18K, -1.08%
Apr 15 2019, 1327.50, 1321.90, 1323.00, 1321.90, 0.02K, -0.29%
Apr 12 2019, 1331.40, 1333.20, 1333.20, 1333.20, 0.23K, 0.19%
Apr 11 2019, 1328.90, 1335.90, 1335.90, 1335.90, 0.04K, -1.52%
Apr 10 2019, 1349.40, 1343.70, 1346.90, 1341.80, 0.08K, 0.41%
Apr 09 2019, 1343.90, 1338.40, 1344.40, 1338.40, 0.00K, 0.49%
Apr 08 2019, 1337.40, 1339.10, 1339.10, 1339.10, 0.00K, 0.47%
Apr 05 2019, 1331.10, 1327.80, 1327.80, 1327.80, 0.05K, 0.12%
Apr 04 2019, 1329.50, 1325.80, 1325.80, 1316.10, 0.04K, -0.08%
Apr 03 2019, 1330.60, 1331.80, 1331.80, 1331.80, 0.05K, -0.01%
Apr 02 2019, 1330.70, 1329.10, 1331.40, 1328.50, 0.07K, 0.09%
Apr 01 2019, 1329.50, 1328.10, 1328.10, 1328.10, 0.03K, -0.30%
Mar 29 2019, 1333.50, 1322.90, 1334.00, 1322.90, 0.01K, 0.27%
Mar 28 2019, 1329.90, 1345.80, 1347.90, 1345.80, 0.11K, -1.58%
Mar 27 2019, 1351.30, 1357.50, 1357.50, 1352.00, 0.14K, -0.37%
Mar 26 2019, 1356.30, 1354.80, 1354.80, 1348.00, 0.05K, -0.56%
Mar 25 2019, 1363.90, 1359.00, 1361.00, 1358.30, 0.14K, 0.75%
Mar 22 2019, 1353.80, 1348.50, 1349.10, 1346.40, 0.06K, 0.36%
Mar 21 2019, 1349.00, 1357.90, 1357.90, 1357.90, 0.12K, 0.41%
Mar 20 2019, 1343.50, 1344.90, 1344.90, 1344.60, 0.02K, -0.39%
Mar 19 2019, 1348.70, 1352.80, 1352.80, 1352.80, 0.00K, 0.39%
Mar 18 2019, 1343.40, 1346.80, 1346.80, 1346.80, 0.01K, -0.09%
Mar 15 2019, 1344.60, 1344.00, 1344.00, 1344.00, 0.01K, 0.58%
Mar 14 2019, 1336.90, 1337.00, 1337.00, 1337.00, 0.23K, -1.07%
Mar 13 2019, 1351.40, 1350.30, 1350.30, 1350.30, 0.02K, 0.86%
Mar 12 2019, 1339.90, 1333.80, 1333.80, 1333.80, 0.08K, 0.50%
Mar 11 2019, 1333.30, 1334.60, 1334.60, 1334.60, 0.01K, -0.63%
